Date,sentiment_compound,DASH,ETH,LTC,XRP,BTC_Price
12/17/15,0.251883333,2.580344633,0.908464611,3.698207776,0.006149037,453.8034614
12/18/15,0.2678,2.624352297,0.895989776,3.712594378,0.006199457,460.9261715
12/19/15,-0.098666667,2.595109699,0.950156351,3.687376919,0.006317676,460.4720035
12/20/15,,2.516262526,0.917314049,3.516226931,0.00628973,446.3967382
12/21/15,,2.534152081,0.888954825,3.402478694,0.006074324,437.3163574
12/22/15,0.186408333,2.50812033,0.854843561,3.46576134,0.005786351,437.6967106
12/23/15,,2.62609933,0.835366724,3.530585992,0.005795251,440.7035097
12/24/15,0.8682,2.865387646,0.865504188,3.592672848,0.006337948,453.6827478
12/25/15,,3.034729087,0.927801273,3.719399344,0.006602694,454.7309861
12/26/15,0,2.74349171,0.863849579,3.520434592,0.006371596,425.9088271
12/27/15,,2.887664655,0.844411046,3.452793851,0.00636348,420.8650679
12/28/15,0,3.031294802,0.843543698,3.450483548,0.006138321,424.5035294
12/29/15,,3.567585059,0.903511542,3.440933147,0.006113641,427.2285782
12/30/15,,3.314331354,0.963550407,3.485163891,0.006094728,428.9041849
12/31/15,0.4795,3.366053108,0.928104169,3.445522211,0.005830405,426.1992023
1/1/16,0.664988889,3.404648674,0.949781671,3.496171208,0.00604292,432.8739277
1/2/16,0.162428571,3.279191039,0.98486974,3.505493191,0.006080407,433.695193
1/3/16,0.2714,3.327873427,0.937912648,3.471853842,0.005924643,429.0111004
1/4/16,0.4389,3.393200032,0.9547645,3.471480966,0.006010302,432.3957917
1/5/16,0.08695,3.363913472,0.954371053,3.470645659,0.005963658,432.1491072
1/6/16,0,3.258167013,0.912909462,3.390651716,0.005652291,430.1591049
1/7/16,0,3.278234315,0.953334882,3.512245158,0.005768314,447.8505006
1/8/16,0.425333333,3.300973302,0.991419426,3.605280669,0.006060305,454.9778232
1/9/16,0.19765,3.163838844,1.008551598,3.572596246,0.005975404,451.6556569
1/10/16,,3.200768317,1.032769401,3.540496267,0.005827475,445.8664612
1/11/16,-0.0432,3.076727574,1.16319831,3.530779599,0.005833003,447.6594481
1/12/16,0,3.183216897,1.148206281,3.581260969,0.00590998,445.3639966
